patient_age,pollution_level,crime_rate,star_brightness,robot_sensor_value,target
64,92.21114617671931,5.582834241692485,23.0149734540482,458.84978204577556,0
67,8.94945450329001,4.283785131058563,55.80065398721336,422.75869303077593,0
73,40.59423219682837,9.231590211737403,6.395317398674101,104.7744042491886,1
20,2.4313199710157773,1.050946942489992,19.92901750472745,158.02298629127975,1
23,34.26109843415903,9.825738886809127,60.798666402591465,86.80861614365021,0
79,62.22310588397949,8.754513240932964,66.5561816315728,192.4470136033619,0
23,27.906794822859837,0.7382628156424853,58.518586048650725,852.4443864977455,0
59,20.97499496556351,4.9096638554047445,87.09054018392969,24.522649262932905,1
29,11.570323332709364,7.1755950021252595,99.34711686145195,431.61725028685606,1
39,57.714024402034184,7.381515456910565,76.6223223731382,800.9363887030906,0
41,69.5270005904686,9.064941252379208,47.04408663023212,100.25820452739009,1
70,67.19571405958223,7.99865435582311,83.55953227595616,227.71359015896465,0
56,94.88610207205073,3.109303803440895,12.918352022434162,727.439707558287,1
43,0.27032138935026984,4.984347858624524,68.64379894814705,647.5524325933526,1
26,64.7196653894036,7.017857629358541,52.31544095788996,563.0238367151661,0
44,60.03922370976396,1.3843684136435142,18.62852273931612,171.64081662818077,0
44,58.87396099702882,1.9399079760019733,97.32042811074119,794.5310119658657,0
32,96.27703198402425,4.8104244810987264,34.50530455809601,141.41411188129604,0
78,1.6871673370039697,2.982457987055127,61.92691719037496,134.79789472306425,0
21,69.64824307014501,8.62559249784095,87.98082951497025,795.0350443033543,0
58,81.36786497018635,5.86277321520618,51.162195547567244,369.2233278840753,0
59,50.980719662158414,3.486651977183677,12.398647167466754,312.61711592334683,1
43,33.396486959680914,8.488330256044101,82.0551693503817,278.67205131023644,1
66,79.0840163227405,8.048784485542388,35.968162938821244,324.97210636760144,1
44,9.724292563242464,9.983548770992694,98.32362002029204,340.5875997076052,0
37,44.203563772992524,8.473076883337349,88.49871919801124,696.3676936065397,0
57,51.99523745708382,4.144565348056797,85.49148400154677,240.2622011512725,0
45,69.39564109345476,1.2749888176998847,36.26906457625204,325.32645347390485,1
33,9.088573203240946,8.406409082004778,75.9558480030975,776.2115084700662,1
28,22.775950153786095,0.5975791796039398,98.6465772371573,913.1505733137121,0
29,41.030156269012565,3.5027120734485417,53.1058395831818,612.8359702284323,0
40,62.329467302013065,9.197379807712737,47.60248334056793,105.11822946280702,0
71,88.69607812174175,9.607664734451006,2.45191627623501,541.5846607086229,0
36,61.88261682413765,6.405645935212184,70.3201731047587,627.7788742244063,1
71,13.346147093493443,6.886483169837136,85.98927929158356,314.0526970069475,1
25,98.05801327872824,0.4245448872552249,25.49826142210117,828.0003729268972,0
35,87.17857347554929,5.144803410895479,32.187433134351025,782.0788107571781,1
67,50.2720761145324,5.468681788063412,50.56702511128949,575.30670672029,1
20,92.2347981796633,3.401007461241111,8.135935578790168,145.0155894271119,0
38,54.13807937571357,0.6859683475388434,9.874605133774962,697.3814656840916,1
55,92.33060678891631,2.2890759972439403,42.68996512992,895.3486638415221,0
44,82.98973686033432,3.5798393686119634,26.860676317638745,250.1011097732363,1
69,96.82864102942973,4.3514198651632965,41.19769295074408,958.6858956840082,1
71,91.97828107781584,5.909267255335692,45.984243511893865,771.3023970302836,0
49,3.603381742856948,7.223915186982364,97.6510662771727,300.3215747791124,0
39,17.477200416093996,3.1763187327394613,94.48172219018089,616.8211241115818,1
39,38.913467710118574,3.2895375991898312,14.833285002436844,307.8479320806945,1
34,95.21426972954208,0.19691642723703717,88.3760113994924,99.46787609389406,1
59,30.002891947592957,0.40874860094018306,8.940459570677778,824.1486696206855,1
52,16.046764388760103,2.578216943085364,51.25591150205766,665.8070345090323,1
21,88.630466608656,7.402449976749566,17.22708011086677,614.0006512807219,0
29,44.63944154832029,6.283138303739122,37.22332239033647,142.1728807132334,1
77,90.78755943543261,7.6978902067783475,74.59068233921779,377.37711316979704,0
52,16.023046632014328,7.689194362148218,43.02604245632814,876.6360800049112,0
51,66.11175115080995,8.565674676693012,80.88817746956204,163.3044607769063,1
